patients_Id,patients_BIRTHDATE,patients_DEATHDATE,patients_SSN,patients_DRIVERS,patients_PASSPORT,patients_PREFIX,patients_FIRST,patients_LAST,patients_SUFFIX,patients_MAIDEN,patients_MARITAL,patients_RACE,patients_ETHNICITY,patients_GENDER,patients_BIRTHPLACE,patients_ADDRESS,patients_CITY,patients_STATE,patients_COUNTY,patients_ZIP,patients_LAT,patients_LON,patients_HEALTHCARE_EXPENSES,patients_HEALTHCARE_COVERAGE,conditions_DESCRIPTION,SDoH_2020_ZIPCODE_1_0_Risk_Score,CMS_Solution,Name_of_Servicer,Servicer_Address,Servicer_ZiPcode,Servicer_LON,Servicer_LAT,Servicer_Phone_Number,Distance_miles_to_Servicer,Primary Key,Gap-dataverse
07b30273-070e-47c7-9617-d12785a4c9d5,8/19/1973,,999-22-9908,S99970583,X87463912X,Mrs.,Conchita9,Rol贸n954,,Villalpando154,M,white,hispanic,F,Juarez  Chihuahua  MX,286 Mraz Esplanade,Holyoke,Massachusetts,Hampden County,1040,42.20855579,-72.68149607,1051320.51,9097.82,Diabetes,0.91,Diabetes Education Program,XYZ Diabetes Education,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1114,24,"Diabetes with SDoH Risk Score of 0.91, Address of Closest Servicer and Phone:XYZ Diabetes Education, 123 Sporer Throughway  Holyoke MA 01013 800-123-1114 and Distance to Servicer 24miles",Diabetes with SDoH Score of 0.91
f504b982-e99b-4064-ad25-9e5480e769cd,4/28/1957,,999-15-8346,S99921820,X72325996X,Mr.,Jerrold404,Purdy2,,,S,white,nonhispanic,M,Sutton  Massachusetts  US,544 Luettgen View Unit 73,Holyoke,Massachusetts,Hampden County,1040,42.16735523,-72.65948237,209283.7,34043.09,Diabetes,0.91,Transportation to Doctor抯 Appointment,ABC Transport Services,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1113,27,"Diabetes with SDoH Risk Score of 0.91, Address of Closest Servicer and Phone:ABC Transport Services, 123 Sporer Throughway Holyoke MA 01013 800-123-1113 and Distance to Servicer 27miles",Diabetes with SDoH Score of 0.91
f504b982-e99b-4064-ad25-9e5480e769cd,4/28/1957,,999-15-8346,S99921820,X72325996X,Mr.,Jerrold404,Purdy2,,,S,white,nonhispanic,M,Sutton  Massachusetts  US,544 Luettgen View Unit 73,Holyoke,Massachusetts,Hampden County,1040,42.16735523,-72.65948237,209283.7,34043.09,Diabetes,0.91,Diabetes Education Program,XYZ Diabetes Education,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1114,27,"Diabetes with SDoH Risk Score of 0.91, Address of Closest Servicer and Phone:XYZ Diabetes Education, 123 Sporer Throughway  Holyoke MA 01013 800-123-1114 and Distance to Servicer 27miles",Diabetes with SDoH Score of 0.91
2d350bad-f546-4799-b04a-32236b4b3930,5/15/1923,3/12/2013,999-87-1875,S99923204,X30789689X,Mrs.,Lucilla742,Durgan499,,Runolfsdottir785,M,white,nonhispanic,F,Boston  Massachusetts  US,749 Greenholt Gardens Unit 68,West Springfield,Massachusetts,Hampden County,1089,42.15274957,-72.66150867,1401523.84,47071.2,Diabetes,0.79,Transportation to Doctor抯 Appointment,ABC Transport Services,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1113,28,"Diabetes with SDoH Risk Score of 0.79, Address of Closest Servicer and Phone:ABC Transport Services, 123 Sporer Throughway West Springfield MA 01013 800-123-1113 and Distance to Servicer 28miles",Diabetes with SDoH Score of 0.79
2d350bad-f546-4799-b04a-32236b4b3930,5/15/1923,3/12/2013,999-87-1875,S99923204,X30789689X,Mrs.,Lucilla742,Durgan499,,Runolfsdottir785,M,white,nonhispanic,F,Boston  Massachusetts  US,749 Greenholt Gardens Unit 68,West Springfield,Massachusetts,Hampden County,1089,42.15274957,-72.66150867,1401523.84,47071.2,Diabetes,0.79,Diabetes Education Program,XYZ Diabetes Education,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1114,28,"Diabetes with SDoH Risk Score of 0.79, Address of Closest Servicer and Phone:XYZ Diabetes Education, 123 Sporer Throughway  West Springfield MA 01013 800-123-1114 and Distance to Servicer 28miles",Diabetes with SDoH Score of 0.79
efa20606-8972-4bd7-823e-2011fe9a54e1,5/15/1923,12/7/1984,999-37-6408,S99961825,X83165493X,Ms.,Milissa240,Weimann465,,,S,white,nonhispanic,F,Revere  Massachusetts  US,154 Leannon Gardens Suite 18,West Springfield,Massachusetts,Hampden County,1089,42.14274317,-72.66971497,1305867.75,13182.04,Heart Disease,0.79,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,28,"Heart Disease with SDoH Risk Score of 0.79, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  West Springfield MA 01013 800-123-1115 and Distance to Servicer 28miles",Heart Disease with SDoH Score of 0.79
13a3a783-ecc5-4ec5-b3dc-168b15cebb88,7/20/1951,,999-60-3722,S99940623,X478753X,Mr.,Mohammad578,Nikolaus26,,,S,white,nonhispanic,M,Berkley  Massachusetts  US,837 Sporer Throughway Apt 92,Chicopee,Massachusetts,Hampden County,1013,42.20014767,-72.56330699,1471673.69,142028.34,Diabetes,0.93,Transportation to Doctor抯 Appointment,ABC Transport Services,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1113,29,"Diabetes with SDoH Risk Score of 0.93, Address of Closest Servicer and Phone:ABC Transport Services, 123 Sporer Throughway Chicopee MA 01013 800-123-1113 and Distance to Servicer 29miles",Diabetes with SDoH Score of 0.93
13a3a783-ecc5-4ec5-b3dc-168b15cebb88,7/20/1951,,999-60-3722,S99940623,X478753X,Mr.,Mohammad578,Nikolaus26,,,S,white,nonhispanic,M,Berkley  Massachusetts  US,837 Sporer Throughway Apt 92,Chicopee,Massachusetts,Hampden County,1013,42.20014767,-72.56330699,1471673.69,142028.34,Diabetes,0.93,Diabetes Education Program,XYZ Diabetes Education,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1114,29,"Diabetes with SDoH Risk Score of 0.93, Address of Closest Servicer and Phone:XYZ Diabetes Education, 123 Sporer Throughway  Chicopee MA 01013 800-123-1114 and Distance to Servicer 29miles",Diabetes with SDoH Score of 0.93
ab6a2662-f6d1-4da6-b3ce-3929d68650d7,1/16/1971,,999-76-3317,S99978505,X28929072X,Mrs.,Miesha237,Wyman904,,Jacobs452,M,white,nonhispanic,F,Harvard  Massachusetts  US,850 Thiel Road Unit 0,Westfield,Massachusetts,Hampden County,1086,42.09044345,-72.79275665,1127414.95,12398.31,Diabetes,0.63,Transportation to Doctor抯 Appointment,ABC Transport Services,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1113,29,"Diabetes with SDoH Risk Score of 0.63, Address of Closest Servicer and Phone:ABC Transport Services, 123 Sporer Throughway Westfield MA 01013 800-123-1113 and Distance to Servicer 29miles",Diabetes with SDoH Score of 0.63
ab6a2662-f6d1-4da6-b3ce-3929d68650d7,1/16/1971,,999-76-3317,S99978505,X28929072X,Mrs.,Miesha237,Wyman904,,Jacobs452,M,white,nonhispanic,F,Harvard  Massachusetts  US,850 Thiel Road Unit 0,Westfield,Massachusetts,Hampden County,1086,42.09044345,-72.79275665,1127414.95,12398.31,Diabetes,0.63,Diabetes Education Program,XYZ Diabetes Education,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1114,29,"Diabetes with SDoH Risk Score of 0.63, Address of Closest Servicer and Phone:XYZ Diabetes Education, 123 Sporer Throughway  Westfield MA 01013 800-123-1114 and Distance to Servicer 29miles",Diabetes with SDoH Score of 0.63
47392cc2-4fb3-4431-b56f-c54688671786,4/2/1944,2/17/1991,999-45-6980,S99964738,X60816538X,Mrs.,Georgiann138,O'Connell601,,Greenfelder433,M,white,nonhispanic,F,Reading  Massachusetts  US,157 Schiller Gardens,Springfield,Massachusetts,Hampden County,1105,42.17013232,-72.58594807,900623.9,12749.32,Heart Disease,0.98,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,29,"Heart Disease with SDoH Risk Score of 0.98, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Springfield MA 01013 800-123-1115 and Distance to Servicer 29miles",Heart Disease with SDoH Score of 0.98
7d61895a-dbf3-472b-9675-421381787295,3/23/1948,,999-72-2740,S99920194,X26928397X,Mrs.,Lola232,Abernathy524,,Hills818,M,white,nonhispanic,F,Somerville  Massachusetts  US,1050 Nitzsche Wall,Belchertown,Massachusetts,Hampshire County,1007,42.28199236,-72.41245883,1455175.14,38853.44,Diabetes,0.36,Transportation to Doctor抯 Appointment,ABC Transport Services,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1113,31,"Diabetes with SDoH Risk Score of 0.36, Address of Closest Servicer and Phone:ABC Transport Services, 123 Sporer Throughway Belchertown MA 01013 800-123-1113 and Distance to Servicer 31miles",Diabetes with SDoH Score of 0.36
7d61895a-dbf3-472b-9675-421381787295,3/23/1948,,999-72-2740,S99920194,X26928397X,Mrs.,Lola232,Abernathy524,,Hills818,M,white,nonhispanic,F,Somerville  Massachusetts  US,1050 Nitzsche Wall,Belchertown,Massachusetts,Hampshire County,1007,42.28199236,-72.41245883,1455175.14,38853.44,Diabetes,0.36,Diabetes Education Program,XYZ Diabetes Education,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1114,31,"Diabetes with SDoH Risk Score of 0.36, Address of Closest Servicer and Phone:XYZ Diabetes Education, 123 Sporer Throughway  Belchertown MA 01013 800-123-1114 and Distance to Servicer 31miles",Diabetes with SDoH Score of 0.36
a694ecfc-e39e-46dc-876e-029b32ba0135,8/15/2006,,999-31-6511,,,,Teisha100,Lockman863,,,,white,nonhispanic,F,Worcester  Massachusetts  US,475 Wolf Hollow Suite 53,Chicopee,Massachusetts,Hampden County,1020,42.14845578,-72.5498374,359052.7,4432.2,Asthma,0.86,Home Air Cleaners ,UI Home Air Cleaners ,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1111,32,"Asthma with SDoH Risk Score of 0.86, Address of Closest Servicer and Phone:UI Home Air Cleaners , 123 Sporer Throughway Chicopee MA 01013 800-123-1111 and Distance to Servicer 32miles",Asthma with SDoH Score of 0.86
a694ecfc-e39e-46dc-876e-029b32ba0135,8/15/2006,,999-31-6511,,,,Teisha100,Lockman863,,,,white,nonhispanic,F,Worcester  Massachusetts  US,475 Wolf Hollow Suite 53,Chicopee,Massachusetts,Hampden County,1020,42.14845578,-72.5498374,359052.7,4432.2,Asthma,0.86,Carpet Shampooing,NMA Carpet Shampooing,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1112,32,"Asthma with SDoH Risk Score of 0.86, Address of Closest Servicer and Phone:NMA Carpet Shampooing, 123 Sporer Throughway  Chicopee MA 01013 800-123-1112 and Distance to Servicer 32miles",Asthma with SDoH Score of 0.86
b8c44adf-4307-4ce5-84e5-2eb98e6b17e2,9/24/1974,2/24/1987,999-54-3196,,,,Jorge203,Chapa957,,,,white,hispanic,M,Ponce  Puerto Rico  PR,984 Kuhic Bay Apt 19,Agawam,Massachusetts,Hampden County,1030,42.07677577,-72.68804447,318987.37,1798.16,Heart Disease,0.56,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,32,"Heart Disease with SDoH Risk Score of 0.56, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Agawam MA 01013 800-123-1115 and Distance to Servicer 32miles",Heart Disease with SDoH Score of 0.56
756c201c-d61c-4495-afc0-09ca95c673a4,9/1/1959,10/1/1974,999-38-7861,,,,Annika454,Gutmann970,,,,black,hispanic,F,Westport  Massachusetts  US,146 Weissnat View,Springfield,Massachusetts,Hampden County,1104,42.09206202,-72.60539095,368122.16,2181.44,Heart Disease,0.92,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,33,"Heart Disease with SDoH Risk Score of 0.92, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Springfield MA 01013 800-123-1115 and Distance to Servicer 33miles",Heart Disease with SDoH Score of 0.92
9b286917-8a4b-4ea7-803e-21578f6882e1,2/22/1957,2/17/2017,999-20-7450,S99916428,X23257624X,Mrs.,Golden321,Ebert178,,Powlowski563,M,white,nonhispanic,F,Lowell  Massachusetts  US,916 Weber Meadow,Springfield,Massachusetts,Hampden County,1105,42.13483806,-72.51694261,1326062.96,9846.52,Heart Disease,0.98,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,34,"Heart Disease with SDoH Risk Score of 0.98, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Springfield MA 01013 800-123-1115 and Distance to Servicer 34miles",Heart Disease with SDoH Score of 0.98
c49c2939-79bc-4fed-951d-67855e8517cc,2/16/1918,,999-96-4831,S99968838,X74132401X,Mr.,Humberto482,Grimes165,,,M,white,nonhispanic,M,Tewksbury  Massachusetts  US,1014 Hilpert Skyway Apt 68,North Brookfield,Massachusetts,Worcester County,1535,42.26015583,-72.08754735,1685717.13,22270.08,Heart Disease,0.69,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,47,"Heart Disease with SDoH Risk Score of 0.69, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  North Brookfield MA 01013 800-123-1115 and Distance to Servicer 47miles",Heart Disease with SDoH Score of 0.69
7c6d7838-6453-4e4a-817e-39c8c387f986,9/6/1914,8/8/1976,999-27-7149,S99936982,X61223021X,Mr.,Quinn173,Kutch271,,,S,white,nonhispanic,M,Brookline  Massachusetts  US,912 Volkman Estate,Worcester,Massachusetts,Worcester County,1545,42.27783547,-71.88986345,1543145.63,5325.28,Heart Disease,0.18,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,56,"Heart Disease with SDoH Risk Score of 0.18, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Worcester MA 01013 800-123-1115 and Distance to Servicer 56miles",Heart Disease with SDoH Score of 0.18
d6a2da1f-ef65-4292-b637-8a0d6ac9b3ec,4/1/1939,,999-94-5198,S99932978,X73086791X,Mr.,Cleveland582,Mayer370,,,M,white,nonhispanic,M,Groton  Massachusetts  US,774 Kuhlman Green,Fitchburg,Massachusetts,Worcester County,1420,42.59176967,-71.84865096,1389079.52,13768.16,Heart Disease,0.85,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,57,"Heart Disease with SDoH Risk Score of 0.85, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Fitchburg MA 01013 800-123-1115 and Distance to Servicer 57miles",Heart Disease with SDoH Score of 0.85
81805635-f2f4-4844-b71b-73578520d372,1/20/1953,,999-73-6612,S99931801,X31131038X,Mr.,Xavier983,Steuber698,,,M,white,nonhispanic,M,Franklin  Massachusetts  US,1032 Keeling Rue,Worcester,Massachusetts,Worcester County,1610,42.32966664,-71.83575324,80984.57,1698.55,Diabetes,0.96,Transportation to Doctor抯 Appointment,ABC Transport Services,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1113,58,"Diabetes with SDoH Risk Score of 0.96, Address of Closest Servicer and Phone:ABC Transport Services, 123 Sporer Throughway Worcester MA 01013 800-123-1113 and Distance to Servicer 58miles",Diabetes with SDoH Score of 0.96
81805635-f2f4-4844-b71b-73578520d372,1/20/1953,,999-73-6612,S99931801,X31131038X,Mr.,Xavier983,Steuber698,,,M,white,nonhispanic,M,Franklin  Massachusetts  US,1032 Keeling Rue,Worcester,Massachusetts,Worcester County,1610,42.32966664,-71.83575324,80984.57,1698.55,Diabetes,0.96,Diabetes Education Program,XYZ Diabetes Education,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1114,58,"Diabetes with SDoH Risk Score of 0.96, Address of Closest Servicer and Phone:XYZ Diabetes Education, 123 Sporer Throughway  Worcester MA 01013 800-123-1114 and Distance to Servicer 58miles",Diabetes with SDoH Score of 0.96
55de6142-7bb1-47f0-95c3-29fda996ef6b,1/20/1953,8/7/2019,999-52-5743,S99959913,X19974330X,Mr.,Gerard367,Blick895,,,M,white,nonhispanic,M,Marblehead  Massachusetts  US,125 Emmerich Landing,Worcester,Massachusetts,Worcester County,1603,42.31577619,-71.83939043,1574241.79,7416.18,Heart Disease,0.89,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,58,"Heart Disease with SDoH Risk Score of 0.89, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Worcester MA 01013 800-123-1115 and Distance to Servicer 58miles",Heart Disease with SDoH Score of 0.89
09cbb3f1-c2ed-426c-8c53-ffda77efcb08,2/26/1950,9/1/2010,999-58-4938,S99927505,X23269129X,Mr.,Moises22,Kerluke267,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,791 Keebler Village,Worcester,Massachusetts,Worcester County,1545,42.36272728,-71.78453808,1323074.7,27549.52,Heart Disease,0.18,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,60,"Heart Disease with SDoH Risk Score of 0.18, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Worcester MA 01013 800-123-1115 and Distance to Servicer 60miles",Heart Disease with SDoH Score of 0.18
097f7be5-fdc1-42a8-b54b-65eb48c12cf1,4/1/1939,4/4/2009,999-40-7711,S99978515,X17666823X,Mr.,Jules135,Stanton715,,,M,white,nonhispanic,M,Duxbury  Massachusetts  US,428 Purdy Village,Fitchburg,Massachusetts,Worcester County,1420,42.58393499,-71.7694552,1431684.74,10027.07,Heart Disease,0.85,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,61,"Heart Disease with SDoH Risk Score of 0.85, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Fitchburg MA 01013 800-123-1115 and Distance to Servicer 61miles",Heart Disease with SDoH Score of 0.85
958e204f-f001-4a2c-bb4e-0715ac927a4f,9/6/1914,6/2/1991,999-54-4351,S99972426,X36959066X,Mr.,Alan320,Heathcote539,,,M,white,nonhispanic,M,Maynard  Massachusetts  US,483 Breitenberg Green,Worcester,Massachusetts,Worcester County,1605,42.24136378,-71.81919717,1542457.05,18883.67,Heart Disease,0.92,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,61,"Heart Disease with SDoH Risk Score of 0.92, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Worcester MA 01013 800-123-1115 and Distance to Servicer 61miles",Heart Disease with SDoH Score of 0.92
8d1ba4bb-7250-4295-be1c-5d0d423e55f7,2/13/1957,,999-93-2339,S99915405,X77554148X,Mr.,Orlando897,Reichert620,,,S,asian,nonhispanic,M,Hong Kong  Hong Kong Special Administrative Region  CN,526 Schinner Junction Suite 13,Lunenburg,Massachusetts,Worcester County,1462,42.61132332,-71.75240345,1681686.84,4922.96,Diabetes,0.29,Transportation to Doctor抯 Appointment,ABC Transport Services,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1113,62,"Diabetes with SDoH Risk Score of 0.29, Address of Closest Servicer and Phone:ABC Transport Services, 123 Sporer Throughway Lunenburg MA 01013 800-123-1113 and Distance to Servicer 62miles",Diabetes with SDoH Score of 0.29
8d1ba4bb-7250-4295-be1c-5d0d423e55f7,2/13/1957,,999-93-2339,S99915405,X77554148X,Mr.,Orlando897,Reichert620,,,S,asian,nonhispanic,M,Hong Kong  Hong Kong Special Administrative Region  CN,526 Schinner Junction Suite 13,Lunenburg,Massachusetts,Worcester County,1462,42.61132332,-71.75240345,1681686.84,4922.96,Diabetes,0.29,Diabetes Education Program,XYZ Diabetes Education,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1114,62,"Diabetes with SDoH Risk Score of 0.29, Address of Closest Servicer and Phone:XYZ Diabetes Education, 123 Sporer Throughway  Lunenburg MA 01013 800-123-1114 and Distance to Servicer 62miles",Diabetes with SDoH Score of 0.29
